login,name,habit,location,time,animal
ckohneke0,Carmel Kohneke,3,Jing’an,12:48 AM,"Whale, killer"
sburtenshaw1,Sammy Burtenshaw,4,San José,3:16 PM,"Kangaroo, black-faced"
snutbrown2,Sula Nutbrown,1,Anqing,1:33 PM,"Bee-eater, nubian"
adyhouse3,Allis Dyhouse,2,Bato,10:41 AM,"Lizard, collared"
gpyser4,Georgeta Pyser,4,Fucheng,4:28 PM,Red meerkat
schaters5,Sabine Chaters,1,Río Limpio,9:39 AM,"Bird, pied butcher"
fsturman6,Fiona Sturman,2,Celica,7:37 AM,White-mantled colobus
rbensusan7,Rip Bensusan,3,Érd,3:20 AM,"Penguin, galapagos"
gpulley8,Gregoire Pulley,3,Stapleford,9:35 AM,Desert kangaroo rat
jivamy9,Jenni Ivamy,3,Zhaigang,2:29 PM,"Starling, superb"
crubicaa,Crawford Rubica,4,Khairpur Nathan Shāh,3:12 PM,"Lion, steller sea"
lstainlandb,Lesley Stainland,1,Yangtan,8:37 PM,American black bear
dclellandc,Deny Clelland,1,Kadaka,10:15 AM,Bird (unidentified)
hsecretd,Hew Secret,1,Gugut,2:59 AM,"Hornbill, red-billed"
wneseye,Winslow Nesey,1,Aţ Ţawīlah,3:28 PM,European badger
qibarraf,Quintus Ibarra,4,Miasskoye,8:00 PM,"Bear, black"
vrysomg,Vic Rysom,1,Bulu,5:56 AM,"Badger, european"
pmacgaheyh,Polly MacGahey,2,San Agustín de Valle Fértil,4:47 AM,Miner's cat
jdionisii,Jean Dionisi,3,Tunjë,10:35 PM,"Bleu, blue-breasted cordon"
rmcquilkinj,Robinette McQuilkin,2,Capilla del Monte,6:32 PM,Impala
cgriswaitek,Cody Griswaite,3,Ōkawara,8:22 PM,Savanna baboon
agherardil,Ara Gherardi,3,Bunobogu,6:58 PM,"Snake, western patch-nosed"
rlocksm,Ryan Locks,3,Narbonne,4:27 PM,"Peacock, indian"
bsweatlandn,Babb Sweatland,3,Baopukang,3:54 PM,"Gull, silver"
tgaufordo,Tedra Gauford,1,Lembur Tengah,11:24 PM,Ovenbird
fadamep,Fredrika Adame,1,Cheonan,5:55 AM,"Squirrel, eurasian red"
mbourgetq,Melita Bourget,3,Cherëmushki,11:18 PM,"Owl, burrowing"
bhavillr,Berget Havill,3,Ashtarak,11:14 AM,"Salmon, sockeye"
vwaldies,Vinita Waldie,1,Alcácer do Sal,4:57 AM,Striated heron
rscotneyt,Ramonda Scotney,3,Butwāl,10:48 PM,"Tinamou, elegant crested"
jthowesu,Janos Thowes,3,Sigavé,4:39 PM,"Deer, red"
bpoizerv,Buddie Poizer,2,Avignon,2:28 AM,"Cat, european wild"
sboundw,Shandee Bound,1,Anshan,5:38 AM,Puku
ceathornex,Caril Eathorne,4,Zarichchya,10:45 PM,"Tern, arctic"
acarffy,Ambur Carff,4,Akat Amnuai,8:26 PM,Gray duiker
dsarneyz,Daniele Sarney,4,Tiantang,6:25 AM,"Porcupine, prehensile-tailed"
blarraway10,Brien Larraway,4,Nanwai,11:58 AM,"Shrew, mandras tree"
pdoubrava11,Peterus Doubrava,1,Yangzhuang,1:33 PM,Magistrate black colobus
dsmellie12,Daffie Smellie,4,Truskavets,7:14 AM,"Otter, small-clawed"
ebrydie13,Enrico Brydie,1,Dragash,11:47 AM,"Gorilla, western lowland"
wdixey14,Wendi Dixey,4,Palca,4:16 AM,Red hartebeest
bblodg15,Blanche Blodg,3,Sośno,9:11 AM,"Wolf, mexican"
slaxen16,Skip Laxen,1,Waddān,9:20 AM,"Loris, slender"
jbanger17,Jonathan Banger,3,Tiarei,4:49 PM,Ring-necked pheasant
ckyte18,Chadwick Kyte,3,Sinjār,8:53 AM,Mexican boa
ccowpe19,Carry Cowpe,3,Aoqiao,7:42 PM,Red deer
jguiducci1a,Jacqueline Guiducci,3,Mach,9:07 PM,"Whale, southern right"
mnunson1b,Marne Nunson,2,Yanghe,2:12 AM,Sugar glider
cdeplacido1c,Chrotoem Deplacido,3,Kysyl-Syr,1:52 AM,"Vulture, lappet-faced"
jlutwyche1d,Jordan Lutwyche,2,San Ignacio de Tupile,1:03 PM,Pacific gull
rklossmann1e,Roxanna Klossmann,1,Xuanhua,7:49 AM,Mallard
dlearned1f,Delbert Learned,1,Lajeado,7:46 AM,Zorilla
dconnor1g,Duffie Connor,1,Myasnikyan,8:08 AM,"Hawk, galapagos"
mbisiker1h,Marcelle Bisiker,3,Tegarenkrajan,7:03 AM,"Vulture, lappet-faced"
ccomelli1i,Clarita Comelli,2,Maribong,9:47 PM,Black curlew
